Country,Year,Population
Afghanistan,1960,9035043
Afghanistan,1961,9214083
Afghanistan,1962,9404406
Afghanistan,1963,9604487
Afghanistan,1964,9814318
Afghanistan,1965,10036008
Afghanistan,1966,10266395
Afghanistan,1967,10505959
Afghanistan,1968,10756922
Afghanistan,1983,10917982
Afghanistan,1982,10991378
Afghanistan,1969,11017409
Afghanistan,1984,11190221
Afghanistan,1970,11290128
Afghanistan,1987,11387818
Afghanistan,1986,11420074
Afghanistan,1985,11426852
Afghanistan,1988,11523298
Afghanistan,1971,11567667
Afghanistan,1972,11853696
Afghanistan,1989,11874088
Afghanistan,1981,11937581
Afghanistan,1990,12045660
Afghanistan,1973,12157999
Afghanistan,1991,12238879
Afghanistan,1974,12469127
Afghanistan,1975,12773954
Afghanistan,1976,13059851
Afghanistan,1980,13169311
Afghanistan,1992,13278974
Afghanistan,1977,13340756
Afghanistan,1978,13611441
Afghanistan,1979,13655567
Afghanistan,1993,14943172
Afghanistan,1994,16250794
Afghanistan,1995,17065836
Afghanistan,1996,17763266
Afghanistan,1997,18452091
Afghanistan,1998,19159996
Afghanistan,1999,19887785
Afghanistan,2000,20130327
Afghanistan,2001,20284307
Afghanistan,2002,21378117
Afghanistan,2003,22733049
Afghanistan,2004,23560654
Afghanistan,2005,24404567
Afghanistan,2006,25424094
Afghanistan,2007,25909852
Afghanistan,2008,26482622
Afghanistan,2009,27466101
Afghanistan,2010,28284089
Afghanistan,2011,29347708
Afghanistan,2012,30560034
Afghanistan,2013,31622704
Afghanistan,2014,32792523
Afghanistan,2015,33831764
Afghanistan,2016,34700612
Afghanistan,2017,35688935
Afghanistan,2018,36743039
Afghanistan,2019,37856121
Afghanistan,2020,39068979
Afghanistan,2021,40000412
Afghanistan,2022,40578842
Afghanistan,2023,41454761
Afghanistan,2024,42647492
Africa Eastern and Southern,1960,130075728
Africa Eastern and Southern,1961,133534923
Africa Eastern and Southern,1962,137171659
Africa Eastern and Southern,1963,140945536
Africa Eastern and Southern,1964,144904094
Africa Eastern and Southern,1965,149033472
Africa Eastern and Southern,1966,153281203
Africa Eastern and Southern,1967,157704381
Africa Eastern and Southern,1968,162329396
Africa Eastern and Southern,1969,167088245
Africa Eastern and Southern,1970,171984985
Africa Eastern and Southern,1971,177022314
Africa Eastern and Southern,1972,182126556
Africa Eastern and Southern,1973,187524135
Africa Eastern and Southern,1974,193186642
Africa Eastern and Southern,1975,198914573
Africa Eastern and Southern,1976,204802976
Africa Eastern and Southern,1977,210680842
Africa Eastern and Southern,1978,217074286
Africa Eastern and Southern,1979,223974122
Africa Eastern and Southern,1980,230792729
Africa Eastern and Southern,1981,238043099
Africa Eastern and Southern,1982,245822010
Africa Eastern and Southern,1983,253644643
Africa Eastern and Southern,1984,261458202
Africa Eastern and Southern,1985,269450407
Africa Eastern and Southern,1986,277621771
Africa Eastern and Southern,1987,286067346
Africa Eastern and Southern,1988,294498625
Africa Eastern and Southern,1989,302939121
Africa Eastern and Southern,1990,311748681
Africa Eastern and Southern,1991,320442961
Africa Eastern and Southern,1992,329082707
Africa Eastern and Southern,1993,338324002
Africa Eastern and Southern,1994,347441809
Africa Eastern and Southern,1995,356580375
Africa Eastern and Southern,1996,366138524
Africa Eastern and Southern,1997,375646235
Africa Eastern and Southern,1998,385505757
Africa Eastern and Southern,1999,395750933
Africa Eastern and Southern,2000,406156661
Africa Eastern and Southern,2001,416807868
Africa Eastern and Southern,2002,427820358
Africa Eastern and Southern,2003,439173286
Africa Eastern and Southern,2004,450928044
Africa Eastern and Southern,2005,463076637
Africa Eastern and Southern,2006,475606210
Africa Eastern and Southern,2007,488580707
Africa Eastern and Southern,2008,502070763
Africa Eastern and Southern,2009,516003448
Africa Eastern and Southern,2010,530308387
Africa Eastern and Southern,2011,544737983
Africa Eastern and Southern,2012,559609961
Africa Eastern and Southern,2013,575202699
Africa Eastern and Southern,2014,590968990
Africa Eastern and Southern,2015,607123269
Africa Eastern and Southern,2016,623369401
Africa Eastern and Southern,2017,640058741
Africa Eastern and Southern,2018,657801085
Africa Eastern and Southern,2019,675950189
Africa Eastern and Southern,2020,694446100
Africa Eastern and Southern,2021,713090928
Africa Eastern and Southern,2022,731821393
Africa Eastern and Southern,2023,750491370
Africa Eastern and Southern,2024,769280888
Africa Western and Central,1960,97630925
Africa Western and Central,1961,99706674
Africa Western and Central,1962,101854756
Africa Western and Central,1963,104089175
Africa Western and Central,1964,106388440
Africa Western and Central,1965,108772632
Africa Western and Central,1966,111246953
Africa Western and Central,1967,113795019
Africa Western and Central,1968,116444636
Africa Western and Central,1969,119203521
Africa Western and Central,1970,122086536
Africa Western and Central,1971,125072948
Africa Western and Central,1972,128176494
Africa Western and Central,1973,131449942
Africa Western and Central,1974,134911581
Africa Western and Central,1975,138569918
Africa Western and Central,1976,142337272
Africa Western and Central,1977,146258576
Africa Western and Central,1978,150402616
